Date,Description,Category,Type,Amount
15-07-2025,Haldirams,Food & Dining,Expense,825
17-07-2025,ATM Withdrawal,Other,Expense,803
19-07-2025,Udemy Course,Education,Expense,2142
20-07-2025,Vi Recharge,Utilities,Expense,1249
20-07-2025,Amazon Prime,Entertainment,Expense,767
21-07-2025,Books,Education,Expense,2973
21-07-2025,Croma Electronics,Shopping,Expense,3023
23-07-2025,Books,Education,Expense,417
23-07-2025,Gas Cylinder,Utilities,Expense,1322
23-07-2025,Movie Tickets,Entertainment,Expense,878
25-07-2025,Croma Electronics,Shopping,Expense,2731
26-07-2025,Local Cafe,Food & Dining,Expense,820
26-07-2025,Amazon Purchase,Shopping,Expense,300
26-07-2025,Flipkart,Shopping,Expense,1409
28-07-2025,Notes Printing,Education,Expense,2602
28-07-2025,Ola Cab,Travel,Expense,2024
28-07-2025,Local Cafe,Food & Dining,Expense,592
30-07-2025,ATM Withdrawal,Other,Expense,111
30-07-2025,Gas Cylinder,Utilities,Expense,1184
01-08-2025,Monthly Salary,Salary,Income,90000
01-08-2025,Workshop Fee,Education,Expense,602
01-08-2025,Workshop Fee,Education,Expense,1535
01-08-2025,Jio Internet,Utilities,Expense,1219
02-08-2025,Uber Ride,Travel,Expense,5069
02-08-2025,Bank Charges,Other,Expense,526
03-08-2025,Misc Expense,Other,Expense,1020
03-08-2025,Movie Tickets,Entertainment,Expense,127
04-08-2025,Starbucks,Food & Dining,Expense,240
08-08-2025,Gas Cylinder,Utilities,Expense,433
08-08-2025,Medicine,Healthcare,Expense,1344
09-08-2025,Cult.fit Gym,Healthcare,Expense,1543
09-08-2025,Misc Expense,Other,Expense,162
09-08-2025,Misc Expense,Other,Expense,901
10-08-2025,Metro Card Recharge,Travel,Expense,523
11-08-2025,Cult.fit Gym,Healthcare,Expense,1497
13-08-2025,Gaming,Entertainment,Expense,219
13-08-2025,Charity Donation,Other,Expense,509
13-08-2025,Doctor Consultation,Healthcare,Expense,1397
14-08-2025,Health Checkup,Healthcare,Expense,1080
14-08-2025,Jio Internet,Utilities,Expense,2579
15-08-2025,Metro Card Recharge,Travel,Expense,4664
15-08-2025,Workshop Fee,Education,Expense,1038
15-08-2025,Local Cafe,Food & Dining,Expense,934
19-08-2025,Myntra,Shopping,Expense,2605
19-08-2025,Flipkart,Shopping,Expense,275
19-08-2025,YouTube Premium,Entertainment,Expense,701
20-08-2025,Books,Education,Expense,1983
22-08-2025,Myntra,Shopping,Expense,3429
22-08-2025,MakeMyTrip Hotel,Travel,Expense,4186
22-08-2025,Cult.fit Gym,Healthcare,Expense,321
23-08-2025,Udemy Course,Education,Expense,2710
25-08-2025,College Fee,Education,Expense,2201
25-08-2025,Meesho,Shopping,Expense,2831
25-08-2025,Uber Ride,Travel,Expense,4757
26-08-2025,Uber Ride,Travel,Expense,1319
26-08-2025,IPL Tickets,Entertainment,Expense,1550
27-08-2025,Doctor Consultation,Healthcare,Expense,1629
27-08-2025,Cult.fit Gym,Healthcare,Expense,966
27-08-2025,Workshop Fee,Education,Expense,170
29-08-2025,Metro Card Recharge,Travel,Expense,1340
31-08-2025,Croma Electronics,Shopping,Expense,2129
31-08-2025,Zara,Shopping,Expense,130
31-08-2025,Spotify,Entertainment,Expense,726
01-09-2025,Monthly Salary,Salary,Income,90000
03-09-2025,Udemy Course,Education,Expense,2456
03-09-2025,Electricity Bill,Utilities,Expense,882
03-09-2025,Netflix,Entertainment,Expense,355
05-09-2025,Netflix,Entertainment,Expense,1156
05-09-2025,Doctor Consultation,Healthcare,Expense,1377
06-09-2025,Amazon Prime,Entertainment,Expense,1325
06-09-2025,Amazon Prime,Entertainment,Expense,761
09-09-2025,Fuel,Travel,Expense,3529
09-09-2025,Doctor Consultation,Healthcare,Expense,266
10-09-2025,Electricity Bill,Utilities,Expense,1714
10-09-2025,Haldirams,Food & Dining,Expense,964
11-09-2025,Health Checkup,Healthcare,Expense,1878
12-09-2025,Train Ticket,Travel,Expense,3367
12-09-2025,Spotify,Entertainment,Expense,1188
15-09-2025,Gaming,Entertainment,Expense,598
15-09-2025,Zomato Order,Food & Dining,Expense,422
15-09-2025,Swiggy,Food & Dining,Expense,325
18-09-2025,Train Ticket,Travel,Expense,4593
20-09-2025,Doctor Consultation,Healthcare,Expense,147
20-09-2025,Haldirams,Food & Dining,Expense,125
20-09-2025,Medicine,Healthcare,Expense,1881
24-09-2025,Electricity Bill,Utilities,Expense,1679
24-09-2025,Cult.fit Gym,Healthcare,Expense,2020
24-09-2025,Uber Ride,Travel,Expense,2210
25-09-2025,Charity Donation,Other,Expense,657
25-09-2025,Gaming,Entertainment,Expense,1002
25-09-2025,Swiggy,Food & Dining,Expense,697
26-09-2025,Haldirams,Food & Dining,Expense,445
26-09-2025,Gift for Friend,Other,Expense,397
26-09-2025,Fuel,Travel,Expense,1822
28-09-2025,IPL Tickets,Entertainment,Expense,886
28-09-2025,H&M,Shopping,Expense,3338
30-09-2025,Notes Printing,Education,Expense,2008
01-10-2025,Monthly Salary,Salary,Income,90000
03-10-2025,Freelance Project,Freelance,Income,20732
02-10-2025,Charity Donation,Other,Expense,780
02-10-2025,Electricity Bill,Utilities,Expense,1784
03-10-2025,Grocery Store,Food & Dining,Expense,1275
05-10-2025,Spotify,Entertainment,Expense,926
05-10-2025,Gaming,Entertainment,Expense,457
05-10-2025,Uber Ride,Travel,Expense,394
06-10-2025,Spotify,Entertainment,Expense,919
12-10-2025,Coursera,Education,Expense,2660
12-10-2025,Metro Card Recharge,Travel,Expense,5043
13-10-2025,Apollo Pharmacy,Healthcare,Expense,1575
17-10-2025,Gaming,Entertainment,Expense,596
17-10-2025,Coursera,Education,Expense,1906
19-10-2025,Amazon Prime,Entertainment,Expense,1245
19-10-2025,ATM Withdrawal,Other,Expense,1186
20-10-2025,Workshop Fee,Education,Expense,2702
20-10-2025,Jio Internet,Utilities,Expense,458
22-10-2025,Apollo Pharmacy,Healthcare,Expense,1325
23-10-2025,Swiggy,Food & Dining,Expense,128
24-10-2025,Misc Expense,Other,Expense,151
30-10-2025,Metro Card Recharge,Travel,Expense,1731
01-11-2025,Monthly Salary,Salary,Income,90000
01-11-2025,Yoga Classes,Healthcare,Expense,194
01-11-2025,IndiGo Flight,Travel,Expense,1856
01-11-2025,Spotify,Entertainment,Expense,1119
02-11-2025,Cult.fit Gym,Healthcare,Expense,1807
02-11-2025,ATM Withdrawal,Other,Expense,786
03-11-2025,Netflix,Entertainment,Expense,315
07-11-2025,Swiggy,Food & Dining,Expense,554
07-11-2025,Gift for Friend,Other,Expense,461
08-11-2025,Health Checkup,Healthcare,Expense,2049
13-11-2025,Gas Cylinder,Utilities,Expense,1498
13-11-2025,IPL Tickets,Entertainment,Expense,901
13-11-2025,ATM Withdrawal,Other,Expense,347
15-11-2025,Train Ticket,Travel,Expense,1238
15-11-2025,Grocery Store,Food & Dining,Expense,123
15-11-2025,IPL Tickets,Entertainment,Expense,501
16-11-2025,Books,Education,Expense,2825
16-11-2025,Coursera,Education,Expense,184
18-11-2025,Yoga Classes,Healthcare,Expense,527
18-11-2025,Misc Expense,Other,Expense,892
19-11-2025,Medicine,Healthcare,Expense,828
19-11-2025,Uber Ride,Travel,Expense,4213
21-11-2025,Grocery Store,Food & Dining,Expense,342
24-11-2025,Cult.fit Gym,Healthcare,Expense,611
24-11-2025,Vi Recharge,Utilities,Expense,1638
24-11-2025,Misc Expense,Other,Expense,233
25-11-2025,Amazon Prime,Entertainment,Expense,1171
25-11-2025,Ajio,Shopping,Expense,3064
25-11-2025,Myntra,Shopping,Expense,1256
27-11-2025,YouTube Premium,Entertainment,Expense,1026
29-11-2025,DTH Recharge,Utilities,Expense,997
30-11-2025,Meesho,Shopping,Expense,383
30-11-2025,Health Checkup,Healthcare,Expense,520
01-12-2025,Monthly Salary,Salary,Income,90000
02-12-2025,IPL Tickets,Entertainment,Expense,1292
02-12-2025,Netflix,Entertainment,Expense,1362
02-12-2025,H&M,Shopping,Expense,1471
04-12-2025,Flipkart,Shopping,Expense,1077
08-12-2025,Local Cafe,Food & Dining,Expense,672
08-12-2025,ATM Withdrawal,Other,Expense,1175
08-12-2025,Netflix,Entertainment,Expense,1418
09-12-2025,YouTube Premium,Entertainment,Expense,965
10-12-2025,Cult.fit Gym,Healthcare,Expense,1669
13-12-2025,Gas Cylinder,Utilities,Expense,769
13-12-2025,Gaming,Entertainment,Expense,110
13-12-2025,H&M,Shopping,Expense,2370
15-12-2025,Charity Donation,Other,Expense,373
15-12-2025,Dominos Pizza,Food & Dining,Expense,938
16-12-2025,ATM Withdrawal,Other,Expense,383
19-12-2025,IndiGo Flight,Travel,Expense,3680
19-12-2025,Metro Card Recharge,Travel,Expense,1338
19-12-2025,Gift for Friend,Other,Expense,572
21-12-2025,Metro Card Recharge,Travel,Expense,493
21-12-2025,Gaming,Entertainment,Expense,1428
21-12-2025,DTH Recharge,Utilities,Expense,1143
22-12-2025,ATM Withdrawal,Other,Expense,804
23-12-2025,Movie Tickets,Entertainment,Expense,948
23-12-2025,Ola Cab,Travel,Expense,2365
23-12-2025,Uber Ride,Travel,Expense,4266
24-12-2025,Spotify,Entertainment,Expense,895
24-12-2025,Health Checkup,Healthcare,Expense,1197
25-12-2025,Amazon Prime,Entertainment,Expense,785
27-12-2025,Netflix,Entertainment,Expense,1053
27-12-2025,Misc Expense,Other,Expense,579
29-12-2025,Misc Expense,Other,Expense,416
30-12-2025,Apollo Pharmacy,Healthcare,Expense,864
01-01-2026,Monthly Salary,Salary,Income,90000
01-01-2026,Udemy Course,Education,Expense,3078
03-01-2026,Books,Education,Expense,958
05-01-2026,Notes Printing,Education,Expense,1716
05-01-2026,YouTube Premium,Entertainment,Expense,679
08-01-2026,Charity Donation,Other,Expense,1098
10-01-2026,Amazon Purchase,Shopping,Expense,402
10-01-2026,Health Checkup,Healthcare,Expense,1821
11-01-2026,Misc Expense,Other,Expense,1157
12-01-2026,Medicine,Healthcare,Expense,1600
12-01-2026,ATM Withdrawal,Other,Expense,1111
12-01-2026,Misc Expense,Other,Expense,233
14-01-2026,Fuel,Travel,Expense,1284
14-01-2026,Workshop Fee,Education,Expense,948
16-01-2026,Yoga Classes,Healthcare,Expense,1918
20-01-2026,Swiggy,Food & Dining,Expense,410
21-01-2026,Gaming,Entertainment,Expense,1282
24-01-2026,ATM Withdrawal,Other,Expense,1079
24-01-2026,Netflix,Entertainment,Expense,405
25-01-2026,Netflix,Entertainment,Expense,1478
25-01-2026,Vi Recharge,Utilities,Expense,1108
26-01-2026,Fuel,Travel,Expense,3069
27-01-2026,Train Ticket,Travel,Expense,1799
27-01-2026,Movie Tickets,Entertainment,Expense,665
27-01-2026,Netflix,Entertainment,Expense,253
30-01-2026,H&M,Shopping,Expense,3030
01-02-2026,Monthly Salary,Salary,Income,90000
01-02-2026,Gaming,Entertainment,Expense,252
01-02-2026,Misc Expense,Other,Expense,485
02-02-2026,Myntra,Shopping,Expense,3412
02-02-2026,Dominos Pizza,Food & Dining,Expense,913
02-02-2026,Doctor Consultation,Healthcare,Expense,1732
05-02-2026,Netflix,Entertainment,Expense,404
05-02-2026,Udemy Course,Education,Expense,1952
05-02-2026,Croma Electronics,Shopping,Expense,1434
10-02-2026,Misc Expense,Other,Expense,1083
10-02-2026,MakeMyTrip Hotel,Travel,Expense,3089
10-02-2026,College Fee,Education,Expense,2813
11-02-2026,Charity Donation,Other,Expense,580
11-02-2026,Flipkart,Shopping,Expense,962
12-02-2026,Vi Recharge,Utilities,Expense,498
14-02-2026,Grocery Store,Food & Dining,Expense,778
15-02-2026,H&M,Shopping,Expense,1974
16-02-2026,H&M,Shopping,Expense,202
16-02-2026,Doctor Consultation,Healthcare,Expense,1369
17-02-2026,BigBasket,Food & Dining,Expense,1259
17-02-2026,MakeMyTrip Hotel,Travel,Expense,4573
19-02-2026,Dominos Pizza,Food & Dining,Expense,173
19-02-2026,Haldirams,Food & Dining,Expense,1034
20-02-2026,Health Checkup,Healthcare,Expense,1785
21-02-2026,Swiggy,Food & Dining,Expense,708
21-02-2026,Apollo Pharmacy,Healthcare,Expense,572
21-02-2026,Myntra,Shopping,Expense,1608
25-02-2026,H&M,Shopping,Expense,3667
25-02-2026,Apollo Pharmacy,Healthcare,Expense,883
25-02-2026,YouTube Premium,Entertainment,Expense,245
01-03-2026,Monthly Salary,Salary,Income,90000
03-03-2026,Freelance Project,Freelance,Income,22184
01-03-2026,MakeMyTrip Hotel,Travel,Expense,1251
01-03-2026,Myntra,Shopping,Expense,3849
03-03-2026,Water Bill,Utilities,Expense,1888
03-03-2026,Notes Printing,Education,Expense,2663
03-03-2026,Dominos Pizza,Food & Dining,Expense,1090
